2022-05-16 22:05:680 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 22:05:117 INFO  ComputerPage :33 - Click on computer [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-16 22:05:545 INFO  ComputerPage :44 - Click on desktop [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2022-05-16 22:05:423 INFO  BuildYourOwnComputerPage :54 - Build your own [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2022-05-16 22:05:496 INFO  BuildYourOwnComputerPage :58 - select process2.2 GHz Intel Pentium Dual-Core E2200to process[[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 22:05:562 INFO  BuildYourOwnComputerPage :62 - select ram2 GBto process[[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 22:05:620 INFO  BuildYourOwnComputerPage :68 - Select HDD [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //label[@for='product_attribute_3_6']]
2022-05-16 22:05:674 INFO  BuildYourOwnComputerPage :77 - Select OS [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //label[@for='product_attribute_4_8']]
2022-05-16 22:05:688 INFO  BuildYourOwnComputerPage :86 - Select software [[[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //dd[@id='product_attribute_input_5']//li//label], [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //dd[@id='product_attribute_input_5']//li//label], [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //dd[@id='product_attribute_input_5']//li//label]]
2022-05-16 22:05:770 INFO  BuildYourOwnComputerPage :96 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 22:05:685 INFO  BuildYourOwnComputerPage :101 - Verify shopping cart [[ChromeDriver: chrome on WINDOWS (3c88e16043ac8fe4504b5bcb7fbf6e52)] -> xpath: //p[@class='content']]
2022-05-16 22:05:360 INFO  ManageDriver :32 - Launching Chrome Browser
